Model number,Type,Status,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,Total functions,Auto menus,device Display,Capacity,Cooking levels,Thermostat,Installation,Programmability,Cleaning,Lighting,Supplied accessories,Optional accessories,Safety,Power,Warranty,Notes,Function list
SFPA9395X,ClassicOven90,Active,8017709207526,90cm Classic Thermoseal Pyrolytic oven,Classic,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,,896mmW x 588mmH x 571mmD,"Fingerprint proof stainless steel,Eclipse high visibility black glass",17,50 SmartSense Plus auto menus + 10 personal programs,TFT,90L,3,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x Partial telescopic guides,2 x Total telescopic guides","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3100W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA9315XR,ClassicOven90,Active,8017709210809,90cm Classic Thermoseal oven,Classic,Thermoseal technology,Touch Control Programmer,Vapour Clean,Ever Clean Enamel,,896mmW x 480mmH x 568mmD,"Fingerprint proof stainless steel,Eclipse high visibility black glass",1,,Digital touch,90L,4,50 - 250ºC,Built-in,Fully programmable,Vapour Clean,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 40mm enamelled baking tray,1 x Partial telescopic guides","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish","Cool Door technology, thermal protection system","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Fan Assisted,Convection,Fan Forced,Eco,Fan Grill,Super Fan Forced,Grill,Half Grill,Vapour Clean"
SFPA7395X,ClassicOven70,Active,8017709207519,70cm Classic Thermoseal Pyrolytic oven,Classic,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,,698mmW x 597mmH x 566mmD,"Fingerprint proof stainless steel,Eclipse high visibility black glass",17,50 SmartSense Plus auto menus + 10 personal programs,TFT,90L,3,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x Partial telescopic guides,2 x Total telescopic guides","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3100W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA7390X,ClassicOven70,Active,8017709207847,70cm Classic Thermoseal oven,Classic,Thermoseal technology,SmartSense - 20 auto menus,Vapour Clean,Ever Clean Enamel,,698mmW x 597mmH x 566mmD,"Fingerprint proof stainless steel,Eclipse high visibility black glass",15,20 SmartSense menus,Large LCD,90L,4,30 - 280ºC,Built-in,Fully programmable,Vapour Clean,2 x 25W incandescent,"1 x Chrome grill insert,2 x Chrome shelves,3 x 20mm enamelled baking tray","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3200W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
