Model number,Type,Status,EAN,Desription,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Finish,Installation,Size,Cutout,Capacity,Power levels,Timers,Controls,Safety,Power,Warranty
SA911XA-1,CeramicElectricCooktop,Active,3760120861628,90cm Ceramic Electric Cooktop - Touch Control,"High Speed elements, full heat in 7 seconds",Touch control,4 zones incl 2 x extendable zones,Residual heat indicators,Programmable zones plus countdown timer,"black ceramic surface, 12mm bevelled edge",built in,900mmW x 520mmD x 44mmH,860mmW x 490mmD,"Front left 1000/1200W,Rear left 1200W,Front right 1200W,Rear right 1500/2400W",9 per zone,"1–99 minutes programmable cooking times, simultaneous and variable times, audible signal",touch control,hot surface ‘H’ LED warning,"220–240V, 50/60Hz, 7000W, 29.17A",two years parts and labour
SA711XA-1,CeramicElectricCooktop,Active,37060120861611,70cm Ceramic Electric Cooktop - Touch Control,"High Speed elements, full heat in 7 seconds",Touch control,4 zones incl 2 x extendable zones,Residual heat indicators,Programmable zones plus countdown timer,"black ceramic surface, 12mm bevelled edge",built in,700mmW x 520mmD x 55mmH,660mmW x 490mmD,"Front left 1200W,Rear left 700/1700W,Front right 1500/2200W,Rear right 1200W",9 per zone,"1–99 minutes programmable cooking times, simultaneous and variable times, audible signal",touch control,hot surface ‘H’ LED warning,"220–240V, 50/60Hz, 6300W, 27A",two years parts and labour
SA611XA-1,CeramicElectricCooktop,Active,3760120861130,60cm Ceramic Electric Cooktop - Touch Control,"High Speed elements, full heat in 7 seconds",Touch control,4 zones,Residual heat indicators,,"black ceramic surface, 12mm bevelled edge",built in,590mmW x 520mmD x 49mmH,560mmW x 490mmD,"Front left 1800W,Rear left 1200W,Front right 1200W,Rear right 1800W",9 per zone,"1–99 minutes programmable cooking times, simultaneous and variable times, audible signal",touch control,hot surface ‘H’ LED warning,"220–240V, 50/60Hz, 6000W, 25A",two years parts and labour
SA661X-1,CeramicElectricCooktop,Active,N/A,60cm Ceramic Electric Cooktop - Knob Control,"High Speed elements, full heat in 7 seconds",Ergonomic Classic control knobs,"4 zones, incl 1 x extendable",Residual heat indicators,,"black ceramic surface, 12mm bevelled edge",built in,515mmD x 600mmW x 56mmH,490mmD x 565mmW,"Front left 1800W,Rear left 1200W,Front right 1200W,Rear right 1100/2400W",6 per zone,n/a,knob control,"four residual heat indicators, power ON indicator, microtherm insulation","220–240V, 50/60Hz, 6600W, 27.5A",two years parts and labour
