Model number,Type,Status,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,Installation,device display,MAIN OVEN,Capacity main oven,Total functions main oven,Cooking levels main oven,Thermostat main oven,Programmability main oven,Cleaning main oven,Lighting main oven,Supplied accessories main oven,AUX OVEN,Capacity aux oven,Total functions aux oven,Cooking levels aux oven,Thermostat aux oven,Programmability aux oven,Cleaning aux oven,Lighting aux oven,Supplied accessories aux oven,Optional accessories,Safety,Power,Warranty,Notes,Function list main oven,Function list aux oven
DOSPA6395X,ClassicDoubleOven,Active,8017709207786,60cm Classic Thermoseal Pyrolytic double oven,Classic,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal menus,Pyrolytic Cleaning,Ever Clean Enamel,,597mmW x 884mmH x 567mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass",Built-in,TFT,,79L,"17 + 50 SmartSense Plus auto menus
incl. Sabbath mode, defrost, proving and keep warm",5,30 - 280ºC,Fully programmable,Pyrolytic Cleaning,1 x 40W halogen,"2 x Chrome shelves,1 x Chrome grill insert,1 x 20mm Baking tray,1 x 40mm Baking tray,1 x Partial telescopic guides",,41L,4,2,50 - 270ºC,n/a,Vapour Clean,1 x 40W halogen,"1 x Chrome shelf,1 x Chrome grill insert,1 x 40mm Baking tray","PRTX - Pizza Stone, PPR2 - Gourmet Cooking Stone, PALPZ - Single-handle pizza paddle, 38508/510 - Baking Dish, GT1P-2 - Partial telescopic guides, GT1T-2 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 5700W, 25A current",Two years parts and labour,,"Base Heat, Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm","Convection,Eco,Grill,Half Grill"
DOSFA6390X,ClassicDoubleOven,Active,8017709207014,60cm Classic Thermoseal double oven,Classic,Thermoseal technology,SmartSense - 20 auto menus,Vapour Clean,Ever Clean Enamel,,597mmW x 884mmH x 567mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass",Built-in,Large LCD,,79L,"18 + 20 SmartSense auto menus
incl. Sabbath mode, defrost and proving",5,50 - 250ºC,Fully programmable,"Vapour Clean, catalytic liners",1 x 40W halogen,"1 x Chrome shelf,1 x Chrome grill insert,1 x 40mm Baking tray",,41L,4,2,50 - 270ºC,n/a,Vapour Clean,1 x 40W halogen,"1 x Chrome shelf,1 x Chrome grill insert,1 x 40mm Baking tray","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 6000W, 25A current",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode","Convection,Eco,Grill,Half Grill"
