Feature,Long form 40 words,Short forms 10 words,icon name,image name
Sensor Controlled,"Equipped with a series of internal dampness sensors, Smeg dryers can detect whether the laundry is dry or not, ensuring the perfect result everytime.",Internal sensors monitor your laundry for the perfect result everytime.,,
Steam Refresh,Eliminate odours and refresh clothing gently in 20 minutes. Reduce ironing time by 43%.,Eliminate odours and refresh clothing gently in just 20 minutes. ,,
Soft drum pattern,"The soft drum pattern ensures the ultimate care for your clothes, one of the reasons the appliances have been approved by the Woolmark Company for 'machine wash' labels. The non-abrasive design ensures better protection of clothes.",The non-abrasive design ensures the ultimate care for your clothes.,,
Direct Drive Motor ,The efficient Smeg motor system prolongs life of the washing machine and consumes less energy.  Unique unbalanced load detection combined with different wash motions delivers a superior wash.,Unique load detection and wash motions deliver a superior wash.,,
Inverter Motor ,"Smeg's tailored inverter motor means greater efficiency, ultra-long life and quicker wash cycles. Noise and vibration levels during washing and spinning are also much lower. ","Greater efficiency, long life performance and quicker washing cycles.",,
Auto Anti-Crease,Automatically follows drying cycle for crease-free ready to go clothing.,Automatically follows drying cycle for crease-free ready to go clothing.,,
Condenser dryer,"Smeg's condenser dryers pass heated air through the load but instead of exhausting this air, the dryer uses a heat exchanger to cool the air and condense the water vapor into a drain pipe or collection tank for a quick drying load.",No moisture build up in the laundry room.,,
Heat Pump dryer,"Extraordinarily efficient, Smeg's Heat pump dryer recycles heat in the process of extracting moisture - resulting in an energy efficent rating of 8 stars.",Smeg's tailored engineering delivers an extraordinarily efficient 8-star performance,,
Quick wash option,Quick wash option allows customers to shorten the running times of many programs. The Quick Full Load program completes a wash in as little as 28 minutes!,Complete a full load in as little as 28 minutes.,,
