Model number,type,Status,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Finish,Dimensions,Installation,Motor,Max Airflow,Noise rating,Illumination,Speeds,Delay stop,Supplied Accessories,Optional Accessories,Ducting Options,Power,Warranty,Notes:
SHWL900B,LinearRangehood,Active,9345025000781,90cm Wallmount  T shape rangehood,Linear,Powerful Airflow,Touch control,Quiet,Linear Design,Automatic cleaning prompts,Stainless Steel and Black Glass,898mmW x 470mmD x 730-1000mmH,Wallmount,275W,820mł/hr (IEC 61591: p=0),47–65 dBA (IEC 60704-3),2 x 20W halogen,4 + Intensive,N/A,3 x aluminium grease filters,N/A,"Duct direct to atmosphere — 150mm diameter ducting required, Recirculate to kitchen — 125mm ducting required","220-240V, 275W, 10A Connection",Two years parts and labour,"*INTENSIVE: The Intensive Speed function activates maximum air extraction for 10 minutes to meet the needs heavy-duty cooking, such as stir-fry."
SHWL900S,LinearRangehood,Active,9345025000774,90cm Wallmount  T shape rangehood,Linear,Powerful Airflow,Touch control,Quiet,Linear Design,Automatic cleaning prompts,Stainless Steel,898mmW x 470mmD x 730-1000mmH,Wallmount,275W,820mł/hr (IEC 61591: p=0),47–65 dBA (IEC 60704-3),2 x 20W halogen,4 + Intensive,N/A,3 x aluminium grease filters,N/A,"Duct direct to atmosphere — 150mm diameter ducting required, Recirculate to kitchen — 125mm ducting required","220-240V, 275W, 10A Connection",Two years parts and labour,
