Model number,Type,Status,EAN,Description,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,device Display,Capacity,Cavity Type,Turntable,Power levels,Microwave power,Grill Power,Convection Power,Auto cook functions,Other Functions,Defrost,Lighting,Control panel,Clock,Timer,Supplied Accessories,Safety,Power,Warranty,Notes
SBIM30X-1,Microwave,ACTIVE,9345025001429,Built-in microwave oven,Flatbed stirrer technology,Touch controls,Electronic timer,Quick start option,8 steam programs,390mmH x 592mmW x 390mmD,Stainless steel,LED,25L,Stainless steel ,Ceramic glass,5,800W,950W,,,,,,touch control,24 hour,60 minute digital,"Steaming vessel - includes, metal lid, plastic steam rack, metal steam diffuser, plastic base, metal grill rack",,10A,Two years parts and labour,
SAM34CXI,Microwave,ACTIVE,8017709237417,34L Freestanding Microwave with Convection,Inverter Technology,5 power levels,10 Automatic Programs,1100 watt grill,1000 watt microwave power,519mmW x 507mmD x 314mmH,Stainless steel,digital LED display,34L,Stainless steel,314mm,5,1000W,1100W,2400W,10,"Pizza, Meat, Vegetables, Pasta, Cake, Potato, Fish, Beverage, Popcorn, Chicken",by time or weight,1 x LED,"electronic button, dial",n/a,n/a,Glass Turntable,"Thermal protection, Child safety lock","220–240V, 50/60Hz, 2400W, 10A 3 pin plug",two years parts and labour,
SAM34XI,Microwave,ACTIVE,8017709237400,34L Freestanding Microwave with Grill,Inverter Technology,5 power levels,10 Automatic Programs,1100 watt grill,1000 watt microwave power,519mmW x 451mmD x 314mmH,Stainless steel,digital LED display,34L,Stainless steel,314mm,5,1000W,1100W,n/a,10,"Pizza, Meat, Vegetables, Pasta, Cake, Potato, Fish, Beverage, Popcorn, Chicken",by time or weight,1 x LED,"electronic button, dial",n/a,n/a,Glass Turntable,"Thermal protection, Child safety lock","220–240V, 50/60Hz, 2100W, 10A 3 pin plug",two years parts and labour,
SA34MX,Microwave,ACTIVE,8017709237394,34L Freestanding Microwave with Grill,,5 power levels,10 Automatic Programs,1100 watt grill,1000 watt microwave power,519mmW x 420mmD x 314mmH,Stainless steel,digital LED display,34L,Stainless steel,314mm,5,1000W,1100W,n/a,10,"Pizza, Meat, Vegetables, Pasta, Cake, Potato, Fish, Beverage, Popcorn, Chicken",by time or weight,1 x LED,"electronic button, dial",n/a,n/a,Glass Turntable,"Thermal protection, Child safety lock","220–240V, 50/60Hz, 2100W, 10A 3 pin plug",two years parts and labour,
SA35MX,Microwave,OLD,9345025000026,34L Freestanding microwave oven,10 Automatic programs,defrost by weight or time,,,,560mmW x 344mmH x 435mmD,stainless steel,digital LED display,34L,stainless steel,345mm diameter,10,1000W,n/a,,n/a,"Frozen Pizza ,Frozen Vegetables, Fresh Vegetables, Dish Warmer, Pasta, Beverage","3 auto defrost - Meat, Poultry & Fish, by time or weight",1,electronic touch pad,yes,99 minutes,,Thermal protection,"220–240V, 50/60Hz, 1400W, 10A 3 pin plug",two years parts and labour,
SA37X,Microwave,OLD,9345025000057,34L Freestanding microwave oven,9 Automatic programs,defrost by weight or time,,,,560mmW x 344mmH x 440mmD,stainless steel,digital LED display,34L,stainless steel,345mm diameter,10,1000W,n/a,,4 programs,"Frozen Vegetables, Pasta, Frozen Pizza, Dish Warmer",by time or weight,1,"elctronic button, dial",yes,99 minutes,,Thermal protection,"220–240V, 50/60Hz, 1500W, 10A 3 pin plug",two years parts and labour,
SA384X,Microwave,OLD,N/A,29L Freestanding microwave oven,10 Automatic programs,defrost by weight or time,,,,542mmW x 325mmH x 410mmD,stainless steel,digital LED display,29L,stainless steel,315mm diameter,10,950W,n/a,,5 programs,"Frozen Pizza, Dinner Plate, Beverage, Muffin",by time or weight,1,"elctronic button, dial",yes,n/a,,Thermal protection,"220–240V, 50/60Hz, 1350W, 10A 3 pin plug",two years parts and labour,
SA987CX-2,Microwave,OLD,N/A,34L Freestanding convection microwave oven,15 Automatic programs,defrost by weight or time,,,,564mmW x 344mmH x 510mmD,stainless steel,digital LED display,34L,stainless steel,345mm diameter,10,1000W,n/a,2400W,5 programs,"Cake / Bread, Fresh Pizza, Frozen Pizza, Fresh Gratin, Frozen Gratin","4 auto defrost - Meat , Poultry, Fish & Bread, by time or weight",1,"elctronic button, dial",n/a,60 minutes,"120mm high chrome rack, 30mm high chrome rack",Thermal protection,"220–240V, 50/60Hz, 2400W, 10A 3 pin plug",two years parts and labour,
SA985-2CX,Microwave,OLD,9345025000064,29L Freestanding convection microwave oven,10 Automatic programs,defrost by weight or time,,,,542mmW x 329mmH x 515mmD,stainless steel,digital LED display,29L,stainless steel,315mm diameter,10,900W,n/a,1550W,5 programs,"grill, convection, combination",by time or weight,1,"elctronic button, dial",yes,60 minutes,30mm high chrome rack,Thermal protection,"220–240V, 50/60Hz, 1550W, 10A 3 pin plug",two years parts and labour,
