Model number,Type,Status,Description,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Finish,Dimensions,Gross Capacity,REFRIGERATOR (Main Compartment) ,shelves main compartment,drawers main compartment,lighting main compartment,REFRIGERATOR (Inner door) ,shelves inner door,accessories inner door,FREEZER,shelves freezer,drawers freezer,accessories freezer,Defrost,Performance,Energy Consumption,Star Rating,Noise,Power,Warranty
FAB50,FabRefrigeration,Active,50's Style Retro Refrigerator,Iconic design,Quick Chill glass zones,Vibrant colours,Perfect blend of art and functionality,Air plus," White, Cream, Silver, Black",804mmW x 1875mmH x 810mmD (includes handle),"Refrigerator: 362L, Freezer: 107L, Total: 469L",,3 x Quick chill glass,2 x With glass cover,Incandescent,,"1 x shelf with cover, 4 x adjustable with wire support, 1 x bottle shelf","1 x Cheese box, 1 x Butter tray",,1 x Plastic shelf,n/a,"1 x Manual ice maker, 2 x Ice boxes, 1 x Fast-freeze compartment",Total Frost Free,,507kWh/year,2.5 Star,43 dBA,"220–240V, 50Hz, 10A (3-pin plug)",2 years parts and labour
FAB32,FabRefrigeration,Active,50's Style Retro Refrigerator,Iconic design,Frost free freezer,Quick Chill glass zones,Vibrant colours,Perfect blend of art and functionality,"Orange, Pastel blue, White, Blue, Black, Pink, Red, Silver, Pastel green, Lime green",600mmW x 1926mmH x 720mmD (includes handle),"Refrigerator: 229L, Freezer: 75L, Total: 304L",,"3 x Quick chill glass, 1 x Bottle rack, 1 x Crisper cover",1 x Crisper drawer,LED,,"1 x shelf with transparent cover, 3 x adjustable with wire support, 1 x bottle shelf with wire support",1 x Egg tray,,n/a,"2 x plastic drawers, 1 x compartments with flap door","1 x Ice box, 1 x Fast freezing compartment",Total Frost Free,,323kWh/year,3.5 Star,41 dBA,"220–240V, 50Hz, 10A (3-pin plug)",2 years parts and labour
FAB28,FabRefrigeration,Active,50's Style Retro Refrigerator,Iconic design,Quick Chill glass zones,Vibrant colours,Perfect blend of art and functionality,,"Pastel Blue, White, Blue, Black, Cream, Pink, Red, Silver, Pastel green, Lime green, Decorated / Special",600mmW x 1510mmH x 732mmD (includes handle),"Refrigerator: 222L, Freezer: 26L, Total: 248L",,"3 x Quick chill glass, 1 x Bottle rack, 1 x Crisper cover",1 x Crisper drawer,LED,,"1 x shelf with transparent cover, 2 x adjustable with wire support, 1 x bottle shelf with wire support",n/a,,1 x internal compartment (NO shelf),n/a,n/a,n/a,,246kWh/year,3.5 Star,39 dBA,"220–240V, 50Hz, 10A (3-pin plug)",2 years parts and labour
FAB10,FabRefrigeration,Active,50's Style Retro Refrigerator,Iconic design,Quick Chill glass zones,Vibrant colours,Perfect blend of art and functionality,,"Black, Red, Cream",543mmW x 960mmH x 632mmD (680mm including handle),Refrigerator: 135L,,"2 x Quick chill glass, 1 x Bottle shelf",,Incandescent,,"1 x shelf with transparent cover, 2 x adjustable shelf, 1 x bottle shelf",n/a,,n/a,n/a,n/a,n/a,,203kWh/year,2.5 Star,37 dBA,"220–240V, 50Hz, 10A (3-pin plug)",2 years parts and labour
FAB5,FabRefrigeration,Active,50's Style Retro Refrigerator,Iconic design,Vibrant colours,Perfect blend of art and functionality,,,"Black, Red, Cream",404mmW x 730mmH x 520mmD (560mm including handle),Refrigerator: 42L,,2 x adjustable wire shelves,n/a,LED,,"1 x adjustable shelf with wire support, 1 x bottle shelf with wire support",n/a,,n/a,n/a,n/a,n/a,,,n/a,,"220–240V, 50Hz, 10A (3-pin plug)",2 years parts and labour
