Status,Type,Aesthetic,Model number,Description,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Finish,Dimensions,Installation,Motor,Max Airflow,Noise rating,Illumination,Speeds,Delay stop,Supplied Accessories,Optional Accessories,Ducting Options,Power,Warranty
Active,PortofinoRangehood,Portofino,KPFA9AN,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,Anthracite,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
Active,PortofinoRangehood,Portofino,KPFA9BL,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,Black,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
Active,PortofinoRangehood,Portofino,KPFA9OG,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,Green,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
Active,PortofinoRangehood,Portofino,KPFA9OR,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,Orange,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
Active,PortofinoRangehood,Portofino,KPFA9RD,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,Red,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
Active,PortofinoRangehood,Portofino,KPFA9WH,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,White,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
Active,PortofinoRangehood,Portofino,KPFA9X,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,Stainless steel,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
Active,PortofinoRangehood,Portofino,KPFA9YW,90cm Portofino Wallmount Rangehood,High air extraction,LED lighting,Stainless steel grease filters,4 fan speeds,Portofino design,Yellow,896mmW x 495mmD x 1227mmH,Wallmount,275W,781mł/hr (IEC 61591),48–72 dBA (IEC 60704-3),2 x 2W LED,4,,3 x stainless steel grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz
10A (3-pin plug)",Five years parts and labour
