Model number,Type,Status,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,Total functions,Door glass,device Display,Capacity,Cooking levels,Thermostat,Installation,Programmability,Cleaning,Lighting,Supplied accessories,Optional accessories,Safety,Power,Warranty,Notes,Function list
SFPA6925P,VictoriaOven,Active,8017709207205,60cm Victoria Thermoseal Pyrolytic oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 548mmD,Panna (cream) enamel,16,Quadruple glazed,Large LCD,79L,5,30 - 280ºC,"Flush, underbench or wallmount",Fully programmable ,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology, Soft Close door, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A current",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6925B,VictoriaOven,Active,8017709207229,60cm Victoria Thermoseal Pyrolytic oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 548mmD,White enamel,16,Quadruple glazed,Large LCD,79L,5,30 - 280ºC,"Flush, underbench or wallmount",Fully programmable ,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology, Soft Close door, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A current",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6925N,VictoriaOven,Active,8017709207212,60cm Victoria Thermoseal Pyrolytic oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 548mmD,Black enamel,16,Quadruple glazed,Large LCD,79L,5,30 - 280ºC,"Flush, underbench or wallmount",Fully programmable ,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology, Soft Close door, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A current",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6925X,VictoriaOven,Active,8017709224592,60cm Victoria Thermoseal Pyrolytic oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 548mmD,Stainless steel,16,Quadruple glazed,Large LCD,79L,5,30 - 280ºC,"Flush, underbench or wallmount",Fully programmable ,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology, Soft Close door, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A current",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
