Model number,Type,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,Installation,device Display,MAIN OVEN,Capacity main oven,Total functions main oven,Door glass main oven,Cooking levels main oven,Thermostat main oven,Programmability main oven,Cleaning main oven,Lighting main oven,Supplied accessories main oven,AUX OVEN ,Capacity aux oven,Total functions aux oven,Door glass aux oven,Cooking levels aux oven,Thermostat aux oven,Programmability aux oven,Cleaning aux oven,Lighting aux oven,Supplied accessories aux oven,Optional accessories,Safety,Power,Warranty,Status,Notes,Function list main oven,functions list aux oven
DOSPA6925P,VictoriaDoubleOven,8017709206871,60cm Victoria Thermoseal Pyrolytic double oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Cool Door technology,,Panna (cream) Enamel,Built-in,Large LCD,,79L,"14 + 20 SmartSense auto menus, incl. Sabbath mode, defrost and proving",Quadruple glazed,5,30 - 280ºC,Fully programmable,Pyrolytic Cleaning,1 x 40W halogen,"3 x Chrome shelves,2 x Chrome grill insert,1 x 20mm Baking tray,2 x 40mm Baking tray, 1 x Partial telescopic guides",,41L,4,Triple glazed,2,50 - 270ºC,n/a,Vapour Clean,1 x 40W halogen,"1 x Chrome shelf,1 x Chrome grill insert,1 x 40mm Baking tray","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-1 - Partial telescopic guides,GT1T-1 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 5700W, 25A current",Two years parts and labour,Active,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode","Convection,Eco,Grill,Half Grill"
DOSPA6925B,VictoriaDoubleOven,8017709206895,60cm Victoria Thermoseal Pyrolytic double oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Cool Door technology,,White Enamel,Built-in,Large LCD,,79L,"14 + 20 SmartSense auto menus, incl. Sabbath mode, defrost and proving",Quadruple glazed,5,30 - 280ºC,Fully programmable,Pyrolytic Cleaning,1 x 40W halogen,"3 x Chrome shelves,2 x Chrome grill insert,1 x 20mm Baking tray,2 x 40mm Baking tray, 1 x Partial telescopic guides",,41L,4,Triple glazed,2,50 - 270ºC,n/a,Vapour Clean,1 x 40W halogen,"1 x Chrome shelf,1 x Chrome grill insert,1 x 40mm Baking tray","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-1 - Partial telescopic guides,GT1T-1 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 5700W, 25A current",Two years parts and labour,Active,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode","Convection,Eco,Grill,Half Grill"
DOSPA6925N,VictoriaDoubleOven,8017709206888,60cm Victoria Thermoseal Pyrolytic double oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Cool Door technology,,Black Enamel,Built-in,Large LCD,,79L,"14 + 20 SmartSense auto menus, incl. Sabbath mode, defrost and proving",Quadruple glazed,5,30 - 280ºC,Fully programmable,Pyrolytic Cleaning,1 x 40W halogen,"3 x Chrome shelves,2 x Chrome grill insert,1 x 20mm Baking tray,2 x 40mm Baking tray, 1 x Partial telescopic guides",,41L,4,Triple glazed,2,50 - 270ºC,n/a,Vapour Clean,1 x 40W halogen,"1 x Chrome shelf,1 x Chrome grill insert,1 x 40mm Baking tray","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-1 - Partial telescopic guides,GT1T-1 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 5700W, 25A current",Two years parts and labour,Active,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode","Convection,Eco,Grill,Half Grill"
DOSPA6925X,VictoriaDoubleOven,8017709224684,60cm Victoria Thermoseal Pyrolytic double oven,Victoria,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Cool Door technology,,Stainless steel,Built-in,Large LCD,,79L,"14 + 20 SmartSense auto menus, incl. Sabbath mode, defrost and proving",Quadruple glazed,5,30 - 280ºC,Fully programmable,Pyrolytic Cleaning,1 x 40W halogen,"3 x Chrome shelves,2 x Chrome grill insert,1 x 20mm Baking tray,2 x 40mm Baking tray, 1 x Partial telescopic guides",,41L,4,Triple glazed,2,50 - 270ºC,n/a,Vapour Clean,1 x 40W halogen,"1 x Chrome shelf,1 x Chrome grill insert,1 x 40mm Baking tray","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-1 - Partial telescopic guides,GT1T-1 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 5700W, 25A current",Two years parts and labour,Active,,"Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode","Convection,Eco,Grill,Half Grill"
